2008043,English Literature,b10ENG-YJ
2008043,Geography,b10GEOG-1
2008043,Information Communication Technology,b10ICT-3
2008043,Maths,b10MA-YEUL
2008043,Physics,b10TSC-B
2008043,Religious Studies,b10RS-YJ
2008043,Technology Product Design,b10PD-X1
2008043,Travel and Tourism,b10TT
2008044,BTEC Science,b10BSC-E
2008044,Child Care,b10CC
2008044,English,b10ENG-XE
2008044,English Literature,b10ENG-XE
2008044,Maths,b10MA-XMAN
2008044,Media Studies,b10MS-3
2008044,Religious Studies,b10RS-XE
2008044,Salon Services,b10SS
2008044,Technology Textiles,b10TEXT-X1
2008046,Biology,b10TSC-A
2008046,Chemistry,b10TSC-A
2008046,English,b10ENG-XA
2008046,English Literature,b10ENG-XA
2008046,Geography,b10GEOG-3
2008046,German,b10GER-1
2008046,Maths,b10MA-XEUL
2008046,Physics,b10TSC-A
2008046,Religious Studies,b10RS-XA
2008046,Sports Studies,b10SPO-2
2008046,Technology Product Design,b10PD-X1
2008047,Art,b10ART-2
2008047,Biology,b10TSC-A
2008047,Chemistry,b10TSC-A
2008047,English,b10ENG-YF
2008047,English Literature,b10ENG-YF
2008047,History,b10HIST-1b
2008047,Information Communication Technology,b10ICT-4
2008047,Maths,b10MA-YEUL
2008047,Physics,b10TSC-A
2008047,Religious Studies,b10RS-YF
2008047,Sports Studies,b10SPO-3
2008048,Biology,b10TSC-A
2008048,Chemistry,b10TSC-A
2008048,English,b10ENG-XA
2008048,English Literature,b10ENG-XA
2008048,Geography,b10GEOG-1
2008048,Information Communication Technology,b10ICT-2
2008048,Maths,b10MA-XGAU
2008048,Physics,b10TSC-A
2008048,Religious Studies,b10RS-XA
2008048,Sports Studies,b10SPO-3
2008048,Technology Product Design,b10PD-X1
2008049,Art,b10ART-3
2008049,Biology,b10TSC-A
2008049,Chemistry,b10TSC-A
2008049,English,b10ENG-YI
2008049,English Literature,b10ENG-YI
2008049,Geography,b10GEOG-1
2008049,Maths,b10MA-YGAU
2008049,Media Studies,b10MS-2
2008049,Physics,b10TSC-A
2008049,Religious Studies,b10RS-YI
2008049,Technology Textiles,b10TEXT-X1
2008050,Biology,b10TSC-A
2008050,Chemistry,b10TSC-A
2008050,English,b10ENG-YH
2008050,English Literature,b10ENG-YH
2008050,Geography,b10GEOG-3
2008050,History,b10HIST-1a
2008050,Information Communication Technology,b10ICT-4
2008050,Maths,b10MA-YGAU
2008050,Physics,b10TSC-A
2008050,Religious Studies,b10RS-YH
2008050,Sports Studies,b10SPO-2
2008051,Biology,b10TSC-B
2008051,Business Studies,b10BST
2008051,Chemistry,b10TSC-B
2008051,English,b10ENG-YI
2008051,English Literature,b10ENG-YI
2008051,History,b10HIST-1a
2008051,Information Communication Technology,b10ICT-4
2008051,Maths,b10MA-YGAU
2008051,Media Studies,b10MS-3
2008051,Physics,b10TSC-B
2008051,Religious Studies,b10RS-YI
2008052,Basic Construction Skills,b10CONS
2008052,BTEC Science,b10BSC-E
2008052,English,b10ENG-XC
2008052,English Literature,b10ENG-XC
2008052,Maths,b10MA-XPYT
2008052,Media Studies,b10MS-3
2008052,Religious Studies,b10RS-XC
2008052,Sports Studies,b10SPO-2
2008052,Technology Product Design,b10PD-X1
2008053,Biology,b10TSC-G
2008053,Chemistry,b10TSC-G
2008053,English,b10ENG-YG
2008053,English Literature,b10ENG-YG
2008053,History,b10HIST-3
2008053,Hospitality and Catering,b10HC-Y1
2008053,Information Communication Technology,b10ICT-2
2008053,Maths,b10MA-YEUL
2008053,Media Studies,b10MS-1
2008053,Physics,b10TSC-G
2008053,Religious Studies,b10RS-YG
2008054,Biology,b10TSC-F
2008054,BTEC Music,b10BTMUS
2008054,Chemistry,b10TSC-F
2008054,English,b10ENG-XE
2008054,English Literature,b10ENG-XE
2008054,History,b10HIST-1b
2008054,Maths,b10MA-XEUL
2008054,Media Studies,b10MS-3
2008054,Physics,b10TSC-F
2008054,Religious Studies,b10RS-XE
2008054,Technology Product Design,b10PD-Y2
2008055,Art,b10ART-3
2008055,Biology,b10TSC-A
2008055,Chemistry,b10TSC-A
2008055,English,b10ENG-YH
2008055,English Literature,b10ENG-YH
2008055,History,b10HIST-1a
2008055,Information Communication Technology,b10ICT-2
2008055,Maths,b10MA-YGAU
2008055,Physics,b10TSC-A
2008055,Religious Studies,b10RS-YH
2008055,Technology Textiles,b10TEXT-X1
2008056,Art,b10ART-1
2008056,Child Care,b10CC
2008056,Core Science,b10CSC-H
2008056,English,b10ENG-YF
2008056,English Literature,b10ENG-YF
2008056,Health and Social Care,b10HSC-3
2008056,Maths,b10MA-YEUL
2008056,Religious Studies,b10RS-YF
2008056,Technology Product Design,b10PD-Y2
2008057,Basic Construction Skills,b10CONS
2008057,BTEC Science,b10BSC-E
2008057,English,b10ENG-XB
2008057,English Literature,b10ENG-XB
2008057,Maths,b10MA-XFIB
2008057,Religious Studies,b10RS-XB
2008057,Sports Studies,b10SPO-2
2008057,Technology Product Design,b10PD-X1
2008058,Biology,b10TSC-B
2008058,Chemistry,b10TSC-B
2008058,English,b10ENG-YH
2008058,English Literature,b10ENG-YH
2008058,French,b10FRE-1
2008058,Geography,b10GEOG-3
2008058,History,b10HIST-2
2008058,Maths,b10MA-YGAU
2008058,Physics,b10TSC-B
2008058,Religious Studies,b10RS-YH
2008058,Technology Food,b10FOOD-X1
2008059,Biology,b10TSC-G
2008059,Chemistry,b10TSC-G
2008059,English,b10ENG-XE
